"Hardback | 304 pages",,"31 May 1981","Kluwer Academic Publishers Group","Kluwer Academic / Plenum Publishers","Dordrecht Netherlands",English,,,biography,0306406934,9780306406935,
"Hardback | 512 pages","168 x 220mm | 788g","16 Sep 2011","Anness Publishing","LORENZ BOOKS","London United Kingdom",English,,,"1700 colour photographs and illustrations",0754820718,9780754820710,1524921
"Paperback | 400 pages","127 x 177.8mm | 505g","04 Jun 2013","Carlton Books",,"United States",English,,,"370 COLOUR &amp; B/W",1780972962,9781780972961,
"Hardback | 278 pages",,"01 Dec 1980","Plenum Publishing Corporation",,"New York United States",English,,,,0306651947,9780306651946,
"Hardback | 364 pages",,"01 Mar 1980","Kluwer Academic Publishers Group","Kluwer Academic / Plenum Publishers","Dordrecht Netherlands",English,,,"20 black &amp; white illustrations biography",0306404206,9780306404207,
"Paperback | 320 pages","152 x 228mm","01 Jun 2011","Fortress PressU.S.",,"United States",English,,2nd,,0800696603,9780800696603,1907758
"Paperback | 478 pages","210 x 297mm","23 Jan 2001","European Agency for Safety and Health at Work",,"Bilbao Spain",English,,,Col.ill.figs.tabs.,929500700X,9789295007000,
"Hardback | 512 pages","168 x 220mm | 788g","16 Sep 2011","Anness Publishing","LORENZ BOOKS","London United Kingdom",English,,,"1700 colour photographs and illustrations",0754820718,9780754820710,1524921
"Hardback | 419 pages",,"01 Apr 1984","Springer Science+Business Media","Kluwer Academic/Plenum Publishers","United States",English,,,,0306416158,9780306416156,
"Paperback | 856 pages",,"06 May 2008","COUNCIL OF EUROPE",,"Strasbourg France",English,,,,9287161070,9789287161079,
"Hardback | 512 pages","168 x 220mm | 788g","07 Aug 2016","Anness Publishing","LORENZ BOOKS","London United Kingdom",English,,,"1500 colour photographs",0754823423,9780754823421,
"Paperback | 478 pages","210 x 297mm","23 Jan 2001","European Agency for Safety and Health at Work",,"Bilbao Spain",English,,,Col.ill.figs.tabs.,929500700X,9789295007000,
"Paperback | 856 pages",,"06 May 2008","COUNCIL OF EUROPE",,"Strasbourg France",English,,,,9287161070,9789287161079,
"Hardback | 428 pages",,"01 Oct 1978","Springer Science+Business Media","Kluwer Academic/Plenum Publishers","United States",English,,,biography,0306400510,9780306400513,
"Hardback | 598 pages","160 x 250mm","05 Jul 1974",Springer,,"New York United Kingdom",English,,,,0306377721,9780306377723,
"Hardback | 598 pages","160 x 250mm","05 Jul 1974",Springer,,"New York United Kingdom",English,,,,0306377721,9780306377723,
"Paperback | 288 pages",,"30 Jun 2017","Columbia University Press",,"New York United States",English,"New edition","New edition",,0231136579,9780231136570,889287
"Paperback | 288 pages",,"30 Jun 2017","Columbia University Press",,"New York United States",English,"New edition","New edition",,0231136579,9780231136570,889287
"Hardback | 821 pages",,"01 Jul 1982","Springer Science+Business Media","Kluwer Academic/Plenum Publishers","United States",English,,,"194 black &amp; white illustrations biography",0306408155,9780306408151,
"Hardback | 128 pages",,"29 Jul 2011","Time Inc Home Entertaiment",,"New York United States",English,,,,1603200924,9781603200929,
"Hardback | 284 pages",,"01 Nov 1979","Kluwer Fiscale en FinancieleThe Netherlands",,Netherlands,English,,,,9020005502,9789020005509,
"Paperback | 232 pages","213 x 277 x 20mm","15 Oct 2001","The University of Alabama Press",,"Alabama United States","English Hebrew",,,,0878202080,9780878202089,
"Hardback | 128 pages",,"29 Jul 2011","Time Inc Home Entertaiment",,"New York United States",English,,,,1603200924,9781603200929,
"Hardback | 308 pages",,"01 Oct 1980","Kluwer Academic Publishers Group","Kluwer Academic / Plenum Publishers","Dordrecht Netherlands",English,,,,0306402874,9780306402876,
"Hardback | 284 pages",,"01 Nov 1979","Kluwer Fiscale en FinancieleThe Netherlands",,Netherlands,English,,,,9020005502,9789020005509,
"Paperback | 18 pages","175 x 250mm","30 Sep 2006","CSIRO Publishing",,"Melbourne Australia",English,,,,0643093583,9780643093584,
"Paperback | 18 pages","175 x 250mm","30 Sep 2006","CSIRO Publishing",,"Melbourne Australia",English,,,,0643093583,9780643093584,
"Paperback | 116 pages",,"24 Apr 2006",TSO,"Stationery Office Books","Norwich United Kingdom",English,Illustrated,"illustrated edition","col. Illustrations",929191150X,9789291911509,
"Paperback | 320 pages","193 x 260mm","30 May 2012","Springer Verlag",,"Milan Italy",Italian,,"2011 ed.","black &amp; white illustrations colour illustrations black &amp; white tables colour tables bibliography",8847020409,9788847020405,
"Paperback | 320 pages","193 x 260mm","30 May 2012","Springer Verlag",,"Milan Italy",Italian,,"2011 ed.","black &amp; white illustrations colour illustrations black &amp; white tables colour tables bibliography",8847020409,9788847020405,
"Paperback | 320 pages","191 x 235mm","01 Oct 2020","Pearson Education (US)",Pearson,"United States",English,,,,0205289010,9780205289011,
"Paperback | 176 pages","190 x 234mm","01 Oct 2010","TRIUMPH BOOKS",,"Chicago United States",English,,,,1600783651,9781600783654,
"Paperback | 176 pages","190 x 234mm","01 Oct 2010","TRIUMPH BOOKS",,"Chicago United States",English,,,,1600783651,9781600783654,
"Hardback | 664 pages",,"31 Dec 1978",Springer,"Kluwer Academic Publishers","Dordrecht Netherlands",English,,,biography,9028609784,9789028609785,
"Paperback | 1200 pages","216 x 279mm | 505g","30 Mar 2013","Pearson Education (US)",Pearson,"United States",English,"Student edition","Student Solution Manual",,0321881206,9780321881205,
"Hardback | 350 pages","171 x 246mm","30 Dec 2013","John Wiley and Sons Ltd","Wiley-Blackwell (an imprint of John Wiley &amp; Sons Ltd)","Chicester United Kingdom",English,Revised,"2nd Revised edition",,0631222472,9780631222477,
"Paperback | 1200 pages","216 x 279mm | 505g","30 Mar 2013","Pearson Education (US)",Pearson,"United States",English,"Student edition","Student Solution Manual",,0321881206,9780321881205,
"Hardback | 3612 pages",,"31 Oct 2011",TSO,,"London United Kingdom",English,,,,0118405136,9780118405133,
"Paperback | 224 pages","191 x 235mm","15 May 2017","Pearson Education (US)","ALLYN &amp; BACON","Old Tappan United States",English,,,,0130474835,9780130474834,
