"Hardback | 160 pages","170 x 244 x 19mm | 481g","30 Jun 2014","John Wiley &amp; Sons Inc",,"New York United States",English,,,,1119941768,9781119941767,
"Paperback | 94 pages",,"31 Dec 1988","Food &amp; Agriculture Organization of the United Nations (Fao)",,"Rome Italy",English,,,,9251027285,9789251027288,
"Paperback | 189 pages","190 x 253mm","01 Dec 1978","British Archaeological Assn.",,"London United Kingdom",English,,,"28 pls",0907307108,9780907307105,
"Hardback | 236 pages",,"31 Dec 1989","Maney Publishing",,"Leeds United Kingdom",English,,,"p with text figs and 171 photos.",0901286230,9780901286239,
"Hardback | 98 pages","127 x 189.99 x 6.6mm | 158.76g","28 Feb 2003","Steinkopff Darmstadt",,"Darmstadt Germany",German,,,"black &amp; white tables bibliography",3798513864,9783798513860,
"Paperback | 710 pages","170 x 250mm","01 Sep 1986","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,Ill.,9971978652,9789971978655,
"Paperback | 190 pages","156 x 234 x 12.7mm | 292g","14 Apr 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"16 black &amp; white illustrations",1138951412,9781138951419,
"Hardback | 2000 pages","156 x 234mm","06 Nov 2015","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,0415355699,9780415355698,
"Hardback | 407 pages","160.02 x 251.46 x 27.94mm | 861.82g","01 Jan 1988","Kluwer Academic Publishers Group","Kluwer Academic / Plenum Publishers","Dordrecht Netherlands",English,,"1987 ed.",biography,0306426714,9780306426711,
"Hardback | 148 pages","160 x 221 x 15.2mm | 317.52g","01 May 1989","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9971507455,9789971507459,
"Hardback | 228 pages","154 x 216 x 20mm | 423g","24 Jul 2013","Springer Gabler",,"Wiesbaden Germany",German,,4th,,3834945188,9783834945181,
"Hardback | 171 pages","178 x 254mm","03 Dec 2016","Humana Press Inc.",,"Totowa NJ United States",English,,"2016 ed.","34 black &amp; white illustrations 17 colour illustrations 5 black &amp; white tables 34 colour tables biography",1493934678,9781493934676,
"Hardback | 700 pages","178 x 254mm | 788g","07 Jan 2017","Humana Press Inc.",,"Totowa NJ United States",English,Revised,"2nd Revised edition",biography,1603273263,9781603273268,1232500
"Hardback | 360 pages","170.2 x 246.4 x 25.4mm | 703.08g","01 Jun 1990","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9810201842,9789810201845,
"Hardback | 400 pages","157.5 x 218.4 x 25.4mm | 612.36g","01 Mar 1991","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9810202598,9789810202590,
"Hardback | 220 pages","172.7 x 251.5 x 17.8mm | 498.96g","01 Jul 1990","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9810202253,9789810202255,
"Paperback | 336 pages","139 x 210 x 21mm | 272g","08 Jun 2016","Swoon Reads",,"NY United States",English,,,,1250084075,9781250084071,137552
"Mixed media product | 141 pages",,"30 Jun 2008","COUNCIL OF EUROPE",,"Strasbourg France",English,,,,9287162395,9789287162397,
"Paperback | 200 pages",,"30 Nov 2005","CAMBRIDGE UNIVERSITY PRESS",,"Cambridge United Kingdom",English,,,,0521680549,9780521680547,
"Paperback | 376 pages","167.6 x 242.9 x 19mm | 505g","31 Dec 2016","Global Professional Publishing Ltd",,"Hawkhurst United Kingdom",English,,,,1906403422,9781906403423,
"Hardback | 506 pages","174 x 246mm","25 Aug 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"5 black &amp; white illustrations 14 black &amp; white tables 5 black &amp; white line drawings",041581510X,9780415815109,
"Paperback | 288 pages","105 x 190mm","25 Jul 2016","Hippocrene Books Inc.U.S.",,"NY United States","English Shan",,,,0781813360,9780781813365,
"Hardback | 334 pages","148 x 210mm","16 Aug 2016","Palgrave MacMillan",,"Basingstoke United Kingdom",English,,"1st ed. 2016",biography,1137564687,9781137564689,
"Paperback | 336 pages","140 x 216mm","14 Feb 2017","Princeton University Press",,"New Jersey United States",English,"New edition Revised","New edition",,0691169217,9780691169217,1307422
"Hardback | 162 pages","158 x 239 x 17mm | 417g","28 Mar 2016","ROWMAN &amp; LITTLEFIELD","Rowman &amp; Littlefield Publishers","Lanham MD United States",English,Revised,"3rd Revised edition",,1442263539,9781442263536,
"Paperback | 600 pages","216 x 276mm","08 Aug 2016","Pearson Education (US)","Prentice Hall","Upper Saddle River United States",English,,"9th Revised edition",,0133754057,9780133754056,1275351
"Hardback | 320 pages","155 x 231 x 28mm | 703g","15 Jun 2016","Ohio University Press",,"Ohio United States",English,,,,0821421999,9780821421994,
"Hardback | 222 pages","180 x 260 x 19mm | 580g","02 Feb 2016","Nova Science Publishers Inc",,"New York United States",English,,,,1634841859,9781634841856,
"Board book | 14 pages","175 x 175 x 15mm | 272g","28 Apr 2016","Sterling Publishing Co Inc",STERLING,"New York United States",English,,,,1454918772,9781454918776,
"Paperback | 312 pages","178 x 229mm | 505g","21 Jul 2011","Pearson Education (US)","Peachpit Press Publications","Berkeley United States",English,,,,0321773004,9780321773005,
"Hardback | 288 pages","134 x 216mm","30 Nov 2016","I.B.Tauris &amp; Co Ltd",I.B.Tauris,"London United Kingdom",English,,,,1780760914,9781780760919,
"Paperback | 32 pages","216 x 279mm | 505g","13 Jul 2012","Centre for Strategic &amp; International StudiesU.S.",,"Washington DC United States",English,,,,0892067381,9780892067381,
"Hardback | 228 pages","167.6 x 254 x 15.2mm | 544.32g","01 Dec 1990","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9810205252,9789810205256,
"Hardback | 668 pages","198 x 262 x 42mm | 1578.49g","01 Dec 1992","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9810206534,9789810206536,
"Hardback | 350 pages","152 x 231 x 20mm | 544g","30 Apr 2016","Imperial College Press",,"London United Kingdom",English,,,,1783266058,9781783266050,
"Hardback | 604 pages","176 x 246 x 30mm | 1119.98g","01 Jan 2014","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. KG","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. K","Berlin Germany",German,,2nd,"black &amp; white illustrations colour illustrations bibliography",364239857X,9783642398575,
"Paperback | 64 pages","152 x 152 x 15mm | 318g","28 Apr 2016","Sterling Publishing Co Inc",STERLING,"New York United States",English,,,"full colour illustrations",1454919396,9781454919391,
"Paperback | 192 pages","143 x 209 x 14mm | 206g","19 Apr 2016","Little Brown &amp; Company","Yen Press","New York United States",English,,,,0316344907,9780316344906,41767
"Hardback | 248 pages","172 x 231 x 23mm | 920g","07 Jun 2016","Thames &amp; Hudson Ltd",,"London United Kingdom",English,,,"100 colour illustrations",0500239339,9780500239339,312688
"Hardback | 272 pages","158 x 239 x 22mm | 606g","17 Mar 2016","York Medieval Press",,"York United Kingdom",English,,,"11 black &amp; white illustrations",1903153662,9781903153666,
"Hardback | 320 pages","156 x 234mm | 618g","25 Jul 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"29 black &amp; white illustrations 29 black &amp; white halftones",1472454871,9781472454874,
"Hardback | 408 pages","156 x 234mm","03 Oct 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,Revised,"2nd Revised edition","6 black &amp; white halftones",1138885428,9781138885424,
"Hardback | 344 pages","152 x 229mm | 800g","24 May 2016","Taylor &amp; Francis Ltd",,"London United Kingdom",English,Revised,"5th Revised edition","120 black &amp; white tables",0415713773,9780415713771,
"Paperback | 240 pages","152 x 229mm","01 Nov 2016","ROWMAN &amp; LITTLEFIELD","TwoDot Books","Guilford United States",English,Revised,"2nd Revised edition","23 black &amp; white halftones 1 maps",1493023047,9781493023042,
"Hardback | 2272 pages","156 x 234mm","01 May 2011","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138755060,9781138755062,
"Hardback | 292 pages","152 x 229mm","17 Aug 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"11 black &amp; white tables",1138774898,9781138774896,
"Hardback | 578 pages","154.9 x 218.4 x 35.6mm | 589.68g","01 Jul 1987","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,Ill.,9971503220,9789971503222,
"Online resource | 832 pages","203 x 279mm","06 Aug 2012","Pearson Education (US)",Pearson,"United States",English,,,,0321845366,9780321845368,
"Paperback | 200 pages","140 x 216 x 16mm | 256g","25 Aug 2016","Bloomsbury Publishing PLC","Bloomsbury Academic USA","New York United States",English,,,,1501320017,9781501320019,465005
"Hardback | 154 pages","178 x 254mm | 410g","31 Mar 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,Revised,"3rd Revised edition",,1138173797,9781138173798,
"Paperback | 344 pages",,"30 Nov 2005","CAMBRIDGE UNIVERSITY PRESS",,"Cambridge United Kingdom",English,,,,052167980X,9780521679800,
"Hardback | 40 pages","210 x 297 x 9mm | 332g","01 Sep 2016","Flying Eye Books",,"London United Kingdom",English,,,,1909263540,9781909263543,
"Hardback | 578 pages","154.9 x 218.4 x 35.6mm | 589.68g","01 Jul 1987","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,Ill.,9971503220,9789971503222,
"Hardback | 536 pages","140 x 220mm","01 Sep 1988","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,Ill.,9971502615,9789971502614,
"Online resource | 832 pages","203 x 279mm","06 Aug 2012","Pearson Education (US)",Pearson,"United States",English,,,,0321845366,9780321845368,
"Paperback | 200 pages","140 x 216 x 16mm | 256g","25 Aug 2016","Bloomsbury Publishing PLC","Bloomsbury Academic USA","New York United States",English,,,,1501320017,9781501320019,465005
"Paperback | 200 pages",,"30 Nov 2005","CAMBRIDGE UNIVERSITY PRESS",,"Cambridge United Kingdom",English,,,,0521680573,9780521680578,
"Paperback | 475 pages","180 x 260mm","11 May 2016","Nova Science Publishers Inc",,"New York United States",English,,Reprint,,1634845757,9781634845755,
"Hardback | 420 pages","170.2 x 254 x 27.9mm | 929.88g","01 Sep 1992","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9810210418,9789810210410,
"Paperback | 344 pages",,"30 Nov 2005","CAMBRIDGE UNIVERSITY PRESS",,"Cambridge United Kingdom",English,,,,052167980X,9780521679800,
"Hardback | 200 pages","156 x 234mm","08 Sep 2017","Taylor &amp; Francis Ltd","Ashgate Publishing Limited","United Kingdom",English,,,,0754678180,9780754678182,
"Hardback | 1168 pages","156 x 234mm","01 Apr 2012","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138753203,9781138753204,
"Hardback | 352 pages","174 x 246mm","07 Mar 2017","Taylor &amp; Francis Ltd",,"London United Kingdom",English,,,"15 black &amp; white halftones 5 black &amp; white line drawings",0415677165,9780415677165,
"Paperback | 588 pages","152.4 x 228.6 x 40.6mm | 929.88g","15 Jun 2006","Northwestern University Press",,"Evanston United States",English,,,,0916384063,9780916384067,
"Hardback | 186 pages","127 x 203 x 16mm | 190g","31 Mar 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"17 black &amp; white line drawings",1138172103,9781138172104,
"Paperback | 208 pages","156 x 234mm | 380g","16 May 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,113897188X,9781138971882,
"Hardback | 1168 pages","156 x 234mm","01 Apr 2012","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138753203,9781138753204,
"Hardback | 240 pages","188.98 x 245.87mm","11 Aug 2016","Bloomsbury Publishing PLC","Bloomsbury Academic","London United Kingdom",English,,,,1472525655,9781472525659,
"Hardback | 1736 pages","156 x 234mm","31 Aug 2016","Taylor &amp; Francis Ltd",,"London United Kingdom",English,,,,0415640881,9780415640886,
"Hardback | 224 pages","139 x 210 x 16mm | 272g","28 Jun 2016","Minotaur BooksUS",,"United States",English,,,,1250083370,9781250083371,
"Hardback | 224 pages","140 x 222 x 140mm","15 Aug 2016","ZED BOOKS LTD",,"London United Kingdom",English,,,,1783606509,9781783606504,
"Paperback | 320 pages","178 x 232mm | 1000g","25 May 2020","Pearson Education (US)","Addison-Wesley Educational Publishers Inc","New Jersey United States",English,,,,0321712099,9780321712097,
"Paperback | 552 pages","169.93 x 244.09 x 32.26mm | 1097.69g","31 Jul 2012","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. KG","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. K","Berlin Germany",English,,"Softcover reprint of the original 1st ed. 1987",,3642717896,9783642717895,
"Paperback | 260 pages","152 x 229mm","31 Jan 1990","SAR Press","School of American Research PressU.S.","Santa Fe United States",English,,,,1938645294,9781938645297,
"Hardback | 240 pages","240 x 300mm","30 Mar 2014","Scheidegger und Spiess AG Verlag",,"Zurich Switzerland",German,,,"100 Colour",3858813702,9783858813701,
"Paperback | 156 pages","152 x 229mm","20 Jul 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,113898518X,9781138985186,
"Paperback | 248 pages","156 x 234 x 15mm | 382g","12 May 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138643300,9781138643307,1083744
"Paperback | 232 pages","135 x 216 x 135mm | 272g","15 Jun 2016","ZED BOOKS LTD",,"London United Kingdom",English,,,,1783604433,9781783604432,
"Hardback | 260 pages","155 x 240mm | 640g","01 Nov 1981","Kluwer Law International",,"Zuidpoolsingel Netherlands",English,,,,9065440267,9789065440266,
"Hardback | 384 pages","150 x 231 x 25mm | 721g","14 May 2016","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9814704342,9789814704342,887840
"Hardback | 550 pages","189 x 246mm","02 Sep 2016","Taylor &amp; Francis Ltd",,"London United Kingdom",English,Revised,"2nd Revised edition","230 black &amp; white illustrations 345 black &amp; white tables 15 black &amp; white halftones 215 black &amp; white line drawings",0415703751,9780415703758,
"Hardback | 390 pages","155 x 235mm","27 Jul 2016","Springer International Publishing AG",,"Cham Switzerland",English,,"2016 ed.","9 black &amp; white illustrations 58 colour illustrations 40 black &amp; white tables 57 colour tables biography",3319293710,9783319293714,
"Paperback | 184 pages","152 x 229mm","31 Jul 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,113897160X,9781138971608,
"Hardback | 256 pages","160 x 236 x 24mm | 621.42g","01 Oct 1990","I.B.Tauris &amp; Co Ltd",I.B.Tauris,"London United Kingdom",English,,,40ill.,1850431299,9781850431299,
"Hardback | 306 pages","155 x 235 x 19mm | 625g","29 May 2016","Springer International Publishing AG",,"Cham Switzerland",English,,"2016 ed.","23 black &amp; white illustrations 2 colour illustrations 1 colour tables biography",3319292536,9783319292533,
"Hardback | 256 pages","156 x 234mm","30 Oct 2016","Taylor &amp; Francis Ltd",,"London United Kingdom",English,,,"50 black &amp; white tables",0415711371,9780415711371,
"Hardback | 332 pages","152 x 229mm | 610g","11 Apr 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138143618,9781138143616,
"Hardback | 399 pages","160 x 240 x 20mm | 800g","26 Jun 2017","CAMBRIDGE UNIVERSITY PRESS",,"Cambridge United Kingdom",English,,,371p.,110714907X,9781107149076,
"Paperback | 448 pages","115 x 178 x 23mm | 363g","07 Jul 2016","Footprint Travel Guides","FOOTPRINT HANDBOOKS","Bath United Kingdom",English,Revised,"6th Revised edition",,1910120677,9781910120675,403845
"Paperback | 176 pages","152 x 229 x 18mm | 471g","23 Jun 2016","American Diabetes Association",,"Virginia United States",English,Revised,"5th Revised edition",,1580405436,9781580405430,
"Paperback | 552 pages","189 x 233 x 28mm | 716g","20 May 2016","John Wiley and Sons Ltd","John Wiley &amp; Sons Australia","Brisbane Australia",English,,,,1119107539,9781119107538,
"Hardback | 258 pages","156 x 234 x 20mm | 520g","19 May 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"7 black &amp; white illustrations 25 black &amp; white tables 4 black &amp; white halftones 3 black &amp; white line drawings",1138950424,9781138950429,
"Paperback | 984 pages","208.28 x 294.64 x 55.88mm | 2449.39g","01 Oct 2001","Maney Publishing",,"Leeds United Kingdom",English,,,,1861251521,9781861251527,
"Hardback | 228 pages","155 x 235 x 14mm | 508g","17 Apr 2016","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. KG","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. K","Berlin Germany",English,,"2016 ed.","35 colour illustrations biography",3662490692,9783662490693,
"Paperback | 512 pages","213 x 274 x 20mm | 975g","15 Aug 2016","Kaplan Publishing",,"United States",English,,3rd,,1506203248,9781506203249,
